Country,Number of ATMs per 100.000 adults,Number of borrowers from commercial banks per 1.000 adults,Number of credit cards per 1.000 adults,Number of debit cards per 1.000 adults,Number of depositors with commercial banks per 1.000 adults,Number of Non-life insurance policies per 1.000 adults,Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
Haiti,52.562781065088764,10.54,8.33,145.59,252.99,684.9883333333332,20.25,7.42
Honduras,24.51,103.41,113.94,730.38,816.1892391304347,49.12,60.93,69.48
Hungary,60.07,446.02,146.1,1044.7,1268.38,1451.77,48.02,34.83
Iceland,72.51,227.74865979381443,808.32,733.35,816.1892391304347,684.9883333333332,52.77,101.25
India,21.23,227.74865979381443,55.97,803.06,816.1892391304347,234.08,70.75,53.05
Indonesia,51.82,168.37,83.89,1010.72,816.1892391304347,684.9883333333332,43.16,35.49
Iraq,5.12,227.74865979381443,1.78,107.4,816.1892391304347,684.9883333333332,44.75,23.1
Ireland,59.53,227.74865979381443,463.75,1427.94,816.1892391304347,684.9883333333332,48.52,31.7
Israel,134.08,227.74865979381443,387.1674418604651,1041.9926573426574,1081.23,684.9883333333332,110.21,75.86
Italy,90.35,551.76,296.21,1147.15,715.63,684.9883333333332,79.42,61.2
Jamaica,40.35,227.74865979381443,172.1,1770.34,816.1892391304347,0.26,63.82,47.21
Japan,120.56,227.74865979381443,2634.15,4104.26,816.1892391304347,684.9883333333332,156.5,109.37
Jordan,28.62,227.74865979381443,50.87,455.46,816.1892391304347,684.9883333333332,118.9,91.27
Kazakhstan,95.91,227.74865979381443,822.77,2685.1,816.1892391304347,347.21,27.56,21.44
Kenya,7.6,359.96,10.66,341.83,816.1892391304347,684.9883333333332,37.44,27.2
Korea,258.34,227.74865979381443,2497.91,711.45,816.1892391304347,3920.54,87.48,97.58
Kosovo,37.04,196.25,126.51,867.88,816.1892391304347,684.9883333333332,62.97,47.39
Kuwait,62.45,209.3,313.63,1183.26,1219.6,684.9883333333332,102.38,119.54
Kyrgyz Republic,42.97,116.71,387.1674418604651,784.42,719.06,684.9883333333332,30.06,27.01
Lao P.D.R.,27.0,57.18,3.01,1041.9926573426574,592.64,684.9883333333332,59.71,45.57
Latvia,56.89,294.32,151.06,1228.38,1253.74,1581.91,45.86,33.01
Lebanon,45.86,220.84,89.12,452.67,616.56,684.9883333333332,142.09,40.94
Lesotho,13.62,40.03,3.86,293.62,406.12,16.8,42.27,20.07
Liberia,3.69,13.31,21.67,33.32,816.1892391304347,684.9883333333332,71.07343195266272,56.370295857988175
Libya,9.28,227.74865979381443,387.1674418604651,114.36,816.1892391304347,684.9883333333332,157.22,26.15
Lithuania,37.66,227.74865979381443,127.77,5665.02,816.1892391304347,684.9883333333332,54.06,35.78
Luxembourg,107.99,227.74865979381443,4213.02,3906.71,816.1892391304347,684.9883333333332,93.61,106.89
Madagascar,3.06,53.06,0.02,42.25,104.16,31.42,21.7,14.98
Malawi,4.53,15.24,0.15,45.18,154.46,22.59,15.76,8.05
Malaysia,54.05,302.54,384.99,1836.29,686.59,684.9883333333332,103.7,120.54
Maldives,41.01,189.6,73.96,1156.43,1175.42,343.68,64.46,49.92
Mali,4.78,227.74865979381443,387.1674418604651,36.06,172.9,684.9883333333332,36.34,28.07
Malta,45.38,307.62,374.61,1518.58,1511.1,684.9883333333332,135.09,82.12
Marshall Islands,10.49,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,105.25,53.87
Mauritania,11.92,96.98,0.56,56.21,187.81,684.9883333333332,228.93,202.11
Mauritius,42.17,247.93,261.71,1388.51,1929.64,537.68,166.41,72.39
Mexico,63.16,227.74865979381443,294.23,1677.21,816.1892391304347,528.02,28.47,22.63
Micronesia,12.96,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,82.11,19.12
Moldova,52.9,154.79,23.32,1007.26,1434.59,388.98,38.59,22.67
Mongolia,48.53,227.74865979381443,86.95,1738.84,816.1892391304347,684.9883333333332,60.77,45.48
Montenegro,81.86,249.61,57.47,822.26,816.1892391304347,551.23,54.21,59.81
Morocco,28.91,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,87.0,84.08
Mozambique,9.77,48.0,7.09,166.13,816.1892391304347,684.9883333333332,50.62,22.71
Namibia,73.55,297.27,324.92,611.62,1233.93,684.9883333333332,61.1,62.97
Nepal,20.02,227.74865979381443,7.82,357.35,816.1892391304347,684.9883333333332,89.75,74.84
New Zealand,53.79,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,123.26,148.47
Nicaragua,21.35,227.74865979381443,90.17,311.92,350.55,168.87,31.13,27.7
Niger,1.84,227.74865979381443,387.1674418604651,16.57,67.29,684.9883333333332,15.82,13.94
Nigeria,15.98,29.31,387.1674418604651,1041.9926573426574,1296.96,684.9883333333332,20.5,12.93
North Macedonia,57.01,343.94,205.84,1010.28,1060.73,657.93,64.38,52.82
Norway,32.33,227.74865979381443,1244.52,1641.48,816.1892391304347,684.9883333333332,50.98,53.25
Oman,48.43,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,82.79,91.4
Pakistan,11.26,24.89,11.87,193.6,419.13,23.14,31.72,17.0
Panama,73.2,227.74865979381443,234.56,544.78,816.1892391304347,684.9883333333332,148.33,115.93
Papua New Guinea,7.45,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,684.9883333333332,71.07343195266272,56.370295857988175
Paraguay,28.11,286.8,290.88,536.38,607.51,684.9883333333332,49.62,42.48
Peru,126.38,148.09,340.2,1755.58,1118.27,684.9883333333332,45.54,43.45
Philippines,29.72,227.74865979381443,129.3,651.1,686.5,684.9883333333332,58.26,37.55
Poland,68.04,458.9,168.84,1115.33,1188.94,1740.5,53.17,45.89
